Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,Education Level,2 Digit NAICS Industy
Logging Clam Bunk Operator,5%,70%,10%,5%,10%,Highschool,11
Logging Crane Operator,5%,70%,10%,10%,5%,Highschool,11
Logging Equipment Mechanic,5%,60%,20%,10%,5%,Professional Certificate,11
Logging Excavator Operator,5%,70%,10%,10%,5%,Highschool,11
Logging Flatbed Truck Driver,5%,70%,10%,10%,5%,Highschool,11
Logging Forwarder Operator,5%,70%,10%,5%,10%,Highschool,11
Logging Laborer,5%,70%,10%,15%,0%,Highschool,11
Logging Operating Engineer,10%,60%,10%,10%,10%,Highschool,11
Logging Shovel Operator,5%,70%,10%,5%,10%,Highschool,11
Logging Slasher Operator,5%,70%,10%,5%,10%,Highschool,11
Logging Swamper,5%,70%,10%,10%,5%,Highschool,11
Logging Tractor Operator,5%,70%,10%,5%,10%,Highschool,11
Logging Truck Driver,5%,70%,10%,10%,5%,Highschool,48
Logging workers,5%,70%,10%,10%,5%,Highschool,11
Log Grader,10%,60%,20%,10%,0%,Highschool,11
Log Hauler,5%,70%,10%,10%,5%,Highschool,48
Logistician,40%,30%,20%,10%,20%,Bachelors,48
Logisticians,40%,30%,20%,10%,20%,Bachelors,48
Logistics Analyst,70%,20%,60%,30%,20%,Bachelors,48
Logistics Coordinator,40%,30%,15%,10%,5%,Associates,48
Logistics Planner,60%,20%,10%,5%,5%,Bachelors,48
Logistics Specialist,40%,30%,20%,10%,10%,Bachelors,48
Log Loader Operator,5%,70%,10%,10%,5%,Highschool,11
Log Peeler,5%,80%,5%,10%,0%,None,11
Log Processor Operator,10%,70%,10%,5%,5%,Highschool,11
Log Roper,5%,70%,10%,10%,5%,Highschool,11
Log Scaler,10%,60%,20%,10%,0%,Highschool,11
Log Sorter,5%,70%,10%,10%,5%,Highschool,11
Log Stacker Operator,5%,70%,10%,5%,10%,Highschool,11
Log Truck Tractor-Trailer Driver,5%,70%,10%,10%,5%,Highschool,48
Loom Fixer,5%,70%,10%,5%,10%,Highschool,31
Loom Technician,10%,60%,20%,5%,5%,Professional Certificate,31
Loss Prevention Detective,20%,40%,20%,20%,0%,Highschool,45
LPN,10%,40%,20%,30%,0%,Associates,62
LP Nurse,10%,40%,20%,30%,0%,Professional Certificate,62
LPTA,20%,40%,20%,20%,0%,Associates,62
Lumberjack,5%,70%,10%,10%,5%,Highschool,11
Lumber Stacker Operator,5%,80%,5%,5%,5%,None,32
Lunchroom Attendant,5%,80%,5%,10%,0%,Highschool,72
Lure Maker,10%,60%,20%,5%,5%,Highschool,31
LVN,10%,40%,20%,30%,0%,Associates,62
LVT,20%,40%,20%,20%,0%,Associates,54
Lyricist,20%,10%,60%,10%,0%,None,71
Machine Builder,10%,60%,20%,5%,5%,Associates,31
Machine Cleaner,5%,80%,5%,10%,0%,Highschool,31
Machined Parts Quality Inspector,20%,50%,20%,5%,5%,Associates,33
Machine Erector,5%,70%,10%,10%,5%,Highschool,31
Machinery Appraiser,30%,40%,20%,10%,0%,Professional Certificate,81
Machinery Dismantler,5%,70%,10%,10%,5%,Highschool,81
Machine Tool Technician Instructor,20%,20%,30%,20%,10%,Associates,61
Machine Welder,5%,70%,10%,10%,5%,Highschool,31
Machinists and tool and die makers,20%,60%,15%,5%,0%,Professional Certificate,33
Macroeconomics Professor,30%,10%,40%,20%,10%,PhD,61
Maestro,20%,30%,30%,20%,10%,Bachelors,71
Magazine Designer,80%,20%,60%,20%,10%,Bachelors,51
Magnetometer Operator,20%,40%,30%,5%,5%,Associates,21
Mail Deliverer,5%,70%,5%,20%,0%,Highschool,49
Mail Forwarding System Markup Clerk,40%,50%,5%,5%,0%,Highschool,49
Mail Order Clerk,40%,50%,5%,5%,0%,Highschool,45
Mainframe Programmer,90%,60%,30%,10%,5%,Bachelors,54
Maintenance Mechanic,10%,60%,20%,10%,0%,Highschool,81
Maintenance Millwright,10%,60%,20%,5%,5%,Professional Certificate,31
Maitre D',5%,40%,15%,35%,5%,Highschool,72
Malariologist,20%,30%,40%,10%,0%,PhD,62
Malt House Kiln Operator,10%,60%,20%,10%,0%,Highschool,31
Management analysts,60%,20%,70%,50%,40%,Masters,54
Management Consultant,70%,20%,60%,50%,40%,Masters,54
Management Information Systems Director,70%,10%,10%,5%,5%,Masters,54
Management Professor,30%,10%,40%,20%,50%,PhD,61
Management Psychologist,40%,20%,30%,60%,50%,PhD,62
Manicurists and pedicurists,5%,70%,10%,15%,0%,Professional Certificate,81
Manual Lathe Machinist,10%,70%,15%,5%,0%,Professional Certificate,33
Manufacturing Director,30%,20%,25%,15%,10%,Bachelors,31
Manufacturing Engineer,40%,30%,20%,5%,5%,Bachelors,31
Manufacturing Engineering Professor,30%,10%,40%,15%,5%,PhD,61
Manufacturing Laborer,5%,70%,10%,10%,5%,Highschool,31
Manufacturing Millwright,10%,60%,20%,5%,5%,Professional Certificate,31
Manufacturing Operations Manager,30%,20%,25%,15%,10%,Bachelors,31
Manufacturing Orthopedic Technologist,20%,40%,20%,10%,10%,Professional Certificate,33
Manuscript Editor,70%,20%,70%,20%,10%,Masters,51
Map Maker,70%,20%,70%,10%,5%,Bachelors,54
Mapper,70%,20%,10%,0%,0%,Bachelors,54
Mapping Technician,70%,20%,10%,5%,5%,Associates,54
Marble-Chip Terrazzo Worker,5%,70%,15%,10%,0%,Highschool,23
Marble Ceiling Installer,5%,70%,10%,10%,5%,Highschool,23
Marble Installation Helper,5%,70%,10%,15%,0%,Highschool,23
Marina Club Manager,20%,30%,20%,20%,10%,Bachelors,71
Marine Architect,30%,20%,40%,5%,5%,Bachelors,54
Marine Biologist,20%,30%,40%,10%,5%,PhD,54
Marine Chronometer Assembler,10%,60%,20%,5%,5%,Professional Certificate,33
Marine Diesel Technician,10%,60%,20%,5%,5%,Professional Certificate,48
Marine Drafter,70%,20%,40%,10%,5%,Associates,33
Marine Electrician,20%,40%,20%,10%,10%,Professional Certificate,31
Marine Electrician Helper,10%,60%,10%,10%,10%,Highschool,31
Marine Electronics Repairer,40%,30%,20%,5%,5%,Professional Certificate,81
Marine Electronics Technician,40%,30%,20%,5%,5%,Associates,81
Marine Engineering Professor,20%,10%,40%,20%,10%,PhD,61
Marine engineers and naval architects,30%,20%,40%,10%,20%,Bachelors,33
Marine Equipment Engineer,30%,20%,30%,10%,10%,Bachelors,33
Marine Firefighter,5%,40%,25%,25%,5%,Professional Certificate,92
Marine Fisheries Technician,20%,40%,20%,10%,10%,Bachelors,11
Marine Mammal Trainer,10%,40%,30%,20%,0%,Bachelors,71
Marine Photographer,40%,20%,30%,10%,0%,Professional Certificate,71
Marine Pipefitter,5%,60%,20%,10%,5%,Professional Certificate,33
Marine Pipefitter Helper,5%,60%,10%,15%,10%,Highschool,33
Marine Propulsion Technician,10%,40%,30%,10%,10%,Professional Certificate,33
Marine Steamfitter,10%,60%,20%,10%,5%,Professional Certificate,33
Marine Steam Fitter Helper,5%,60%,10%,15%,10%,Highschool,33
Marine Structural Designer,40%,20%,30%,5%,5%,Bachelors,54
Marine Technician,20%,40%,20%,10%,10%,Associates,48
Marketing Administrator,70%,20%,40%,30%,10%,Bachelors,54
Marketing Analyst,70%,20%,60%,30%,10%,Bachelors,54
Marketing Consultant,70%,10%,60%,40%,20%,Bachelors,54
Marketing Director,40%,10%,25%,15%,10%,Bachelors,54
Marketing Forecaster,70%,10%,60%,40%,20%,Bachelors,54
Marketing Instructor,40%,20%,20%,20%,10%,Masters,61
Marketing Professor,30%,10%,40%,15%,5%,PhD,61
Marketing Specialist,70%,20%,60%,40%,10%,Bachelors,54
Market News Reporter,40%,20%,30%,10%,0%,Bachelors,51
Market Research Analyst,70%,20%,70%,30%,10%,Bachelors,54
Market research analysts,70%,20%,70%,40%,10%,Bachelors,54
Market Research Interviewer,30%,40%,20%,70%,10%,Highschool,54
Market Research Specialist,70%,20%,60%,40%,10%,Bachelors,54
Marquetry Worker,5%,60%,30%,5%,0%,Professional Certificate,33
Marriage and family therapists,10%,20%,40%,90%,10%,Masters,62
Marriage Counselor,10%,20%,40%,90%,10%,Masters,62
Marriage Therapist,20%,20%,40%,80%,10%,Masters,62
Masonry Contractor Administrator,20%,30%,20%,20%,10%,Professional Certificate,23
Masonry Instructor,10%,40%,20%,20%,10%,Professional Certificate,23
Masonry workers,5%,70%,10%,15%,5%,Highschool,23
Massage therapists,5%,60%,10%,25%,0%,Professional Certificate,81
Masseur,5%,70%,10%,15%,0%,Professional Certificate,81
Masseuse,5%,70%,10%,15%,0%,Professional Certificate,81
Massotherapist,5%,40%,20%,35%,0%,Professional Certificate,62
Master Barber,5%,60%,10%,25%,0%,Professional Certificate,81
Master Chef,5%,40%,30%,20%,5%,Professional Certificate,72
Master Electrician,20%,40%,20%,10%,10%,Professional Certificate,23
Master Plumber,10%,40%,25%,15%,10%,Professional Certificate,23
Material Control Clerk,40%,40%,10%,10%,0%,Highschool,42
Material Expediter,20%,50%,10%,15%,5%,Highschool,42
Material Handler,10%,70%,5%,10%,5%,Highschool,49
Material moving machine operators,10%,70%,10%,5%,5%,Highschool,48
Material recording clerks,40%,50%,5%,5%,0%,Highschool,43
Materials engineers,30%,20%,40%,5%,5%,Bachelors,33
Maternal-Fetal Medicine Physician,10%,20%,40%,20%,10%,Doctorate,62
Mathematical Physicist,30%,20%,45%,5%,0%,PhD,54
Mathematical Statistician,70%,10%,80%,20%,10%,PhD,54
Mathematicians and statisticians,70%,20%,90%,10%,5%,PhD,54
Mathematics Education Professor,30%,20%,30%,15%,5%,PhD,61
Mathematics Professor,30%,20%,40%,10%,0%,PhD,61
Maxillofacial Pathology,10%,20%,40%,20%,10%,Doctorate,62
Maxillofacial Prosthetics Dentist,10%,30%,40%,15%,5%,Doctorate,62
Maxillofacial Prosthodontist,10%,30%,40%,20%,0%,Doctorate,62
Maxillofacial Surgeon,10%,30%,40%,15%,5%,Doctorate,62
Mayor,30%,20%,25%,40%,60%,Bachelors,92
Meat Carver,5%,70%,10%,15%,0%,Highschool,72
Meat Clerk,5%,70%,10%,15%,0%,Highschool,44
Meat Counter Worker,5%,70%,10%,15%,0%,Highschool,44
Meat Curer,5%,70%,10%,10%,5%,Highschool,31
Meat Packager,5%,80%,5%,5%,5%,None,31
Meat Smoker,5%,70%,10%,15%,0%,Highschool,31
Meat Wrapper,5%,80%,5%,10%,0%,None,44
Mechanical Design Drafter,70%,20%,40%,10%,5%,Associates,33
Mechanical Engineering Director,30%,10%,25%,15%,20%,Masters,33
Mechanical Engineering Professor,20%,10%,40%,20%,10%,PhD,61
Mechanical Engineering Technician,30%,40%,20%,10%,0%,Associates,33
Mechanical Engineering Technologist,30%,40%,20%,5%,5%,Associates,33
Mechanical engineering technologists and technicians,30%,40%,20%,5%,5%,Associates,33
Mechanical engineers,30%,25%,30%,10%,5%,Bachelors,33
Mechanical Maintenance Instructor,20%,40%,20%,20%,10%,Associates,61
Mechanics Handyman,10%,60%,10%,10%,10%,Highschool,81
Mechatronics Technician,40%,30%,20%,5%,5%,Associates,33
Media Arts Professor,70%,10%,60%,50%,20%,PhD,61
Media Relations Specialist,60%,20%,50%,70%,20%,Bachelors,51
Mediation Commissioner,20%,20%,30%,30%,10%,Masters,54
Medical and Health Information Manager,70%,20%,40%,30%,50%,Bachelors,62
Medical and health services managers,40%,20%,20%,60%,80%,Masters,62
Medical Anthropologist,20%,10%,50%,15%,5%,PhD,62
Medical assistants,20%,50%,10%,20%,0%,Associates,62
Medical Bill Coder,70%,20%,5%,5%,0%,Professional Certificate,62
Medical Claims Analyst,70%,60%,40%,20%,10%,Bachelors,62
Medical Claims Examiner,70%,20%,10%,20%,5%,Associates,62
Medical Director,30%,10%,30%,20%,10%,Doctorate,62
Medical dosimetrists,40%,30%,20%,10%,0%,Professional Certificate,62
Medical Epidemiologist,40%,20%,30%,10%,10%,Doctorate,62
Medical equipment repairers,30%,40%,20%,5%,5%,Associates,62
Medical Esthetician,10%,40%,20%,30%,0%,Professional Certificate,62
Medical Health Researcher,40%,20%,30%,10%,0%,PhD,62
Medical Illustrator,80%,20%,60%,20%,10%,Bachelors,62
Medical Librarian,40%,20%,30%,10%,0%,Masters,51
Medical Library Assistant,40%,30%,20%,10%,0%,Associates,51
Medical Microbiologist,30%,20%,40%,10%,0%,PhD,62
Medical Orderly,10%,60%,10%,20%,0%,Highschool,62
Medical Photographer,80%,50%,30%,20%,5%,Professional Certificate,62
Medical Physicist,30%,20%,40%,10%,0%,PhD,62
Medical Physics Professor,30%,10%,40%,15%,5%,PhD,61
Medical Records Administrator,70%,20%,5%,5%,10%,Associates,62
Medical Records Library Professor,60%,20%,10%,5%,5%,Masters,61
Medical records specialists,70%,60%,30%,20%,10%,Associates,62
Medical Record Transcriber,80%,70%,20%,10%,5%,Professional Certificate,62
Medical Research Scientist,40%,20%,30%,5%,5%,PhD,62
Medical Scientist,40%,20%,30%,10%,5%,PhD,62
Medical scientists,30%,20%,40%,10%,5%,PhD,62
Medical Social Worker,30%,20%,25%,25%,5%,Masters,62
Medical Stenographer,70%,20%,5%,5%,0%,Professional Certificate,62
Medical Transcriber,90%,80%,20%,10%,5%,Professional Certificate,62
Medical transcriptionists,80%,70%,30%,10%,5%,Professional Certificate,62
Medicare Correspondence Representative,60%,30%,10%,40%,5%,Associates,62
Medicare Interviewer,30%,40%,10%,20%,0%,Associates,62
Medieval English Literature Professor,20%,20%,40%,15%,5%,PhD,61
"Meeting, convention, and event planners",40%,30%,20%,60%,40%,Bachelors,71
Melt Room Operator,5%,70%,10%,10%,5%,Highschool,33
Memorial Mason,5%,60%,20%,10%,5%,Highschool,81
Menswear Salesperson,10%,60%,10%,20%,0%,Highschool,45
Mental Health Orderly,10%,60%,10%,20%,0%,Highschool,62
Mental Health Program Manager,30%,20%,25%,40%,40%,Masters,62
Mental Health Technician,10%,40%,20%,30%,0%,Associates,62
Merchandise Buyer,30%,20%,25%,15%,10%,Bachelors,45
Merchant Mariner,10%,40%,20%,20%,10%,Professional Certificate,48
Merchant Seaman,5%,60%,20%,10%,5%,Professional Certificate,48
Mess Attendant,5%,70%,5%,20%,0%,None,72
Mess Cook,5%,70%,10%,15%,0%,Highschool,72
Metal Alloy Scientist,30%,20%,40%,10%,10%,PhD,33
Metal and plastic machine workers,10%,70%,10%,5%,5%,Highschool,33
Metal Crafts Artist,10%,40%,30%,10%,10%,Professional Certificate,71
Metal Die Finisher,5%,60%,20%,10%,5%,Highschool,33
Metal Gauge Maker,10%,60%,20%,5%,5%,Highschool,33
Metal Grinder,5%,70%,10%,5%,10%,Highschool,33
Metalizing Machine Operator,5%,70%,10%,5%,10%,Highschool,33
Metallographer,30%,30%,30%,5%,5%,Bachelors,33
Metallurgical Engineer,20%,30%,30%,10%,10%,Bachelors,33
Metallurgist,20%,30%,40%,10%,10%,Bachelors,33
Metal Milling Machine Operator,10%,70%,10%,5%,5%,Highschool,33
Metal Mockup Maker,10%,60%,20%,5%,5%,Highschool,33
Metal Patternmaker,10%,60%,20%,5%,5%,Highschool,33
Metal Plater,5%,70%,10%,10%,5%,Highschool,33
Metal Punch Press Operator,10%,70%,10%,5%,5%,Highschool,33
Metal Roofing Mechanic,5%,70%,15%,10%,0%,Highschool,23
Metal Rotary Head Milling Machine Setup Operator,5%,70%,20%,5%,0%,Highschool,33
Metal Sheet Roller Operator,5%,70%,10%,5%,10%,Highschool,33
Metal Slitter,5%,70%,10%,5%,10%,Highschool,33
Metal Spraying Machine Operator,5%,70%,10%,5%,10%,Highschool,33
Metal Stamper,5%,70%,10%,5%,10%,Highschool,33
Metal Tank Erector,5%,70%,10%,10%,5%,Highschool,33
Meteorologist,40%,20%,30%,10%,0%,Masters,54
Meteorology Professor,30%,10%,40%,15%,5%,PhD,61
Microbiological Analyst,30%,40%,20%,5%,5%,Bachelors,54
Microbiologists,30%,40%,70%,20%,10%,PhD,54
Microbiology Professor,30%,20%,30%,15%,5%,PhD,61
Microbiology Technician,20%,40%,30%,5%,5%,Bachelors,62
Microeconomics Professor,30%,20%,40%,10%,0%,PhD,61
Microfilm Clerk,30%,60%,5%,5%,0%,Highschool,51
Microwave Oven Assembler,10%,70%,10%,5%,5%,Highschool,33
Middle School Paraeducator,10%,40%,20%,30%,0%,Associates,61
Middle School PE Teacher,10%,40%,20%,30%,10%,Bachelors,61
Middle School Principal,30%,20%,25%,40%,60%,Masters,61
Middle School Science Teacher,20%,40%,20%,20%,0%,Bachelors,61
Middle School Special Education Teacher,10%,30%,30%,30%,10%,Bachelors,61
Middle school teachers,20%,30%,30%,70%,10%,Bachelors,61
Middle School Technology Education Teacher,40%,20%,20%,15%,5%,Bachelors,61
Migratory Game Bird Biologist,20%,20%,40%,10%,10%,Masters,11
Military careers,20%,40%,20%,20%,30%,Highschool,92
Milking Machine Mechanic,10%,60%,20%,5%,5%,Professional Certificate,11
Mill Beam Fitter,5%,60%,20%,10%,5%,Highschool,33
Mill Recorder,30%,40%,10%,10%,10%,Highschool,31
Mine Car Mechanic,5%,60%,20%,10%,5%,Highschool,21
Mine Geologist,30%,20%,40%,5%,5%,Bachelors,21
Mineral Engineer,20%,30%,30%,10%,10%,Bachelors,21
Mineralogist,30%,20%,40%,5%,5%,PhD,21
Mineralogy Professor,30%,20%,40%,10%,5%,PhD,61
Mineral Surveying Technician,30%,40%,20%,5%,5%,Associates,21
Mineral Surveyor,20%,30%,30%,10%,10%,Bachelors,21
Mineral Technologist,20%,30%,30%,10%,10%,Bachelors,21
Mine Surveyor,30%,40%,20%,5%,5%,Professional Certificate,21
Mining and geological engineers,30%,20%,30%,10%,10%,Bachelors,21
Mining Engineer,30%,20%,30%,10%,10%,Bachelors,21
Mining Production Geologist,30%,20%,30%,10%,10%,Bachelors,21
Mining Technician,20%,40%,20%,10%,10%,Associates,21
MIS Director,70%,10%,10%,5%,5%,Masters,54
Missile Navigation Systems Sales Engineer,40%,20%,30%,10%,0%,Bachelors,33
Missile Pad Mechanic,10%,40%,30%,10%,10%,Associates,33
Mitochondrial Disorders Counselor,20%,10%,40%,30%,0%,Masters,62
Mixologist,5%,60%,20%,15%,0%,Highschool,72
Mobile Applications Developer,90%,30%,60%,10%,5%,Bachelors,54
Mobile Electronics Installation Specialist,30%,40%,20%,10%,0%,Professional Certificate,44
Mobility Scooter Repairer,10%,60%,20%,10%,0%,Professional Certificate,44
Models,5%,40%,10%,40%,5%,None,71
Molecular Physicist,30%,20%,40%,5%,5%,PhD,54
Molten Iron Pourer,5%,70%,10%,5%,10%,Highschool,33
Money Order Clerk,30%,50%,10%,10%,0%,Highschool,52
Monologist,10%,20%,50%,20%,0%,None,71
Monorail Crane Operator,5%,70%,10%,10%,5%,Highschool,48
Monument Mason,5%,60%,20%,10%,5%,Professional Certificate,23
Morgue Attendant,10%,70%,10%,5%,5%,Highschool,62
Mortar Mixer,5%,80%,5%,10%,0%,None,23
Mortgage Accounting Clerk,70%,60%,30%,20%,10%,Associates,52
Mortgage Closing Clerk,60%,30%,5%,5%,0%,Associates,52
Mortgage Loan Closer,40%,40%,10%,10%,0%,Associates,52
Mortgage Loan Processing Clerk,70%,60%,20%,30%,10%,Associates,52
Mortgage Loan Processor,60%,30%,5%,5%,0%,Associates,52
Mortgage Processor,70%,60%,40%,30%,10%,Associates,52
Mortician Supplies Sales Representative,20%,30%,20%,25%,5%,Associates,42
Mosquito Sprayer,5%,80%,5%,10%,0%,Highschool,56
Motel Clerk,30%,50%,10%,60%,10%,Highschool,72
Motel Front Desk Attendant,30%,50%,10%,70%,10%,Highschool,72
Motion Picture Camera Operator,40%,30%,20%,10%,0%,Professional Certificate,51
Motion Picture Director,30%,10%,40%,15%,5%,Bachelors,51
Motion Study Technician,40%,30%,20%,10%,0%,Associates,54
Motorboat Mechanic,5%,60%,25%,5%,5%,Professional Certificate,71
Motor Coach Bus Driver,5%,70%,10%,10%,5%,Highschool,48
Motor Coach Driver,5%,70%,10%,15%,0%,Highschool,48
Motor Coach Tour Operator,10%,40%,20%,25%,5%,Highschool,48
Motorcycle Police,10%,40%,20%,30%,0%,Highschool,92
Motorcycle Repairer,5%,70%,20%,5%,0%,Professional Certificate,81
Motorcycle Service Technician,10%,60%,20%,5%,5%,Professional Certificate,81
Motorcycle Technician,10%,60%,20%,5%,5%,Professional Certificate,81
Motor Grader Operator,5%,70%,15%,5%,5%,Highschool,23
Motor Rewinder,5%,70%,15%,5%,5%,Highschool,33
Motor Scooter Mechanic,5%,70%,20%,5%,0%,Professional Certificate,81
Motor Tune-Up Specialist,5%,60%,20%,10%,5%,Professional Certificate,81
Motor Vehicle License Clerk,40%,40%,10%,10%,0%,Highschool,44
Motor Vehicle Representative,30%,40%,10%,20%,0%,Highschool,44
Motor Winder,5%,70%,15%,5%,5%,Professional Certificate,33
Mounted Police,5%,40%,20%,30%,5%,Highschool,92
Movie Critic,30%,20%,40%,10%,0%,Bachelors,51
Movie Editor,90%,30%,60%,10%,5%,Bachelors,51
Movie Producer,30%,10%,30%,20%,10%,Bachelors,51
Movie Project Management Specialists,40%,20%,20%,10%,10%,Bachelors,51
Movie Shot Camera Operator,40%,30%,20%,10%,0%,Professional Certificate,51
MRI Technologist,30%,40%,20%,10%,0%,Associates,62
Mud Logger,30%,40%,20%,5%,5%,Bachelors,21
Multi-operation Forming Machine Setter,5%,70%,15%,5%,5%,Highschool,33
Multimedia Artist,80%,10%,70%,20%,10%,Bachelors,51
Multimedia Services Coordinator,70%,10%,10%,5%,5%,Bachelors,51
Multiple Coil Winder,10%,70%,10%,5%,5%,Highschool,33
Municipal Bond Trader,40%,30%,20%,10%,0%,Bachelors,52
Municipal Clerk,40%,30%,10%,20%,5%,Associates,92
Municipal Firefighter,10%,40%,30%,20%,5%,Highschool,92
Muralist,10%,30%,50%,10%,0%,Professional Certificate,71
Mural Painter,5%,40%,40%,10%,5%,Highschool,71
Museum Archivist,40%,30%,20%,5%,5%,Masters,71
Museum Curator,30%,20%,30%,10%,10%,Masters,71
Museum Exhibit Technician,30%,40%,20%,10%,5%,Associates,71
Music Adapter,30%,20%,40%,10%,0%,Bachelors,71
Music Arranger,40%,20%,30%,10%,0%,Bachelors,71
Music Copyist,70%,60%,30%,10%,5%,Associates,71
Music Director,20%,10%,40%,20%,10%,Bachelors,71
Music directors and composers,20%,20%,40%,20%,10%,Bachelors,71
Musician,20%,30%,40%,10%,0%,None,71
Musicians and singers,10%,20%,40%,30%,0%,None,71
Music Librarian,40%,30%,20%,10%,5%,Bachelors,51
Music Minister,20%,30%,25%,25%,10%,Bachelors,71
Music Pastor,20%,20%,20%,30%,10%,Bachelors,81
Music Professor,20%,20%,30%,30%,10%,PhD,61
Music Video Director,40%,10%,30%,15%,5%,Bachelors,51
Music Video Producer,40%,10%,30%,20%,20%,Bachelors,51
Mutual Fund Sales Agent,40%,30%,20%,60%,20%,Bachelors,52
Nail Technician,5%,70%,10%,15%,0%,Professional Certificate,81
Nanny,5%,60%,10%,25%,0%,Highschool,62
Narcotics Detective,20%,30%,30%,20%,10%,Associates,92
